course_campaign_name,campaign_agenda,campaign_category,digital_marketing_team,marketing_product,mobile,tablet,laptop,campaign_id,Illinois,California,Georgia,Arizona,Florida,West_Virginia,Texas,Massachusetts,Wisconsin,District_of_Columbia,Kentucky,Missouri,Mississippi,Alabama,Ohio,Michigan,Oklahoma,Virginia,New_York,Washington,Colorado,Pennsylvania,Indiana,North_Carolina,Minnesota,Tennessee,New_Jersey,Idaho,Nevada,Louisiana,New_Mexico,Maryland,South_Carolina,Oregon,Connecticut,Alaska,Iowa,Montana,Rhode_Island,Utah,Arkansas,Kansas,Nebraska,Hawaii,North_Dakota,New_Hampshire,Maine,South_Dakota
email_podcasting_19,open_link,marketing,ind_vtz_digex,podcasting,2,8,1,1321288808,"",2,"","",1,"",1,1,"","","",1,"","","",1,"","",2,"","","",1,"",1,"","","","","","","","","","","","","","","","","","","","","","",""
email_youtube_marketing_86,open_link,new_course_added,ind_vtz_digex,youtube_marketing,4,9,3,2854117603,"","",3,3,1,"",4,"","","","","","","","","","","",1,"","","",1,1,"","","",1,"",1,"","","","","","","","","","","","","","","","","",""
email_email_marketing_108,open_link,new_course_added,ind_bdq_digex,email_marketing,11,7,5,3080796047,1,2,1,1,3,"",2,"","","","","",1,1,"","","","","",2,"",2,"",1,2,"","",1,1,"","","","","",1,"","","","","","",1,"","","","","",""
email_youtube_marketing_151,register_to_course,marketing,ind_vtz_digex,youtube_marketing,6,6,2,8718554733,"",2,"","",1,"",1,1,"","","","","","",1,1,"","",2,"",1,"","",1,"","","","",1,"",1,"",1,"","","","","","","","","","","","","","",""
email_email_marketing_74,click_on_email,marketing,ind_ded_digex,email_marketing,4,11,4,4433426520,"",4,2,"",2,"",2,"",2,"","","","","",1,1,"","","","","",1,"","",1,"","",1,"",1,"","","","","","","","","","","","",1,"","","","",""
email_podcasting_134,open_link,marketing,ind_vtz_digex,podcasting,5,10,4,6175194993,2,1,"","",1,"",1,1,"",1,"","","",1,1,"","",1,"","",1,2,"","",2,"","","","",1,"",1,"","","","","",1,"","","","","","","","","",1
email_youtube_marketing_154,open_link,marketing,ind_pat_digex,youtube_marketing,6,9,4,7075830295,2,4,"","","","",3,1,"","","",1,"",1,1,"","","","","","","","","",1,1,"",1,"",1,"","",1,"","","",1,"","","","","","","","","","",""
email_youtube_marketing_48,register_to_course,marketing,ind_myq_digex,youtube_marketing,2,7,2,8778602262,"",2,"","",1,"","","","","",1,"","","",2,"","","","",1,1,1,"","","","","","",1,1,"","","","","","","","","","","","","","","","","",""
email_podcasting_165,open_link,marketing,ind_vtz_digex,podcasting,4,7,3,490536727,"",2,"","",1,"",2,"","","","","",1,"",2,"","",1,"","","",2,"",1,"",1,"","","","","","","","",1,"","","","","","","","","","","","",""
email_podcasting_75,open_link,marketing,ind_vtz_digex,podcasting,6,15,3,1281251836,1,1,"",2,1,"",1,"",1,4,"","","","","","","","",3,"","",1,1,2,1,"","","","",2,1,"","","",1,"","","","","","","","","","",1,"",""
email_youtube_marketing_86,open_link,marketing,ind_bdq_digex,youtube_marketing,6,9,6,4424252094,"",4,"","","","",2,"",3,"","",1,"","",1,"","",1,"",1,"",1,"","","",1,"","","",1,"",1,"",1,"","",1,"","","","","","","","",1,"",1
email_podcasting_96,register_to_course,new_course_added,ind_vtz_digex,podcasting,2,8,2,6496076219,"","",1,"",3,"",2,"",1,"","",1,"","","",1,"","",1,1,"","","","","","","","","","","","","","","",1,"","","","","","","","","","","",""
email_copywriting_38,open_link,marketing,ind_vtz_digex,copywriting,5,10,2,7720050819,1,2,1,"",3,"",5,"","","","",1,"","","","","","","",2,2,"","","","","","","","","","","","","","","","","","","","","","","","","","",""
email_email_marketing_11,register_to_course,new_course_added,ind_bdq_digex,email_marketing,7,7,6,7968698138,"",4,4,"","","",3,"","",1,"","",1,"",1,"","",2,2,"","",1,"","","","",1,"","","","","","","","","","","","","","","","","","","","",""
email_youtube_marketing_78,click_on_email,new_course_added,ind_vtz_digex,youtube_marketing,5,5,2,8348991352,"",4,"","","","","",1,"",1,"","","","","","","",1,2,1,"","","","","","","",1,"","","","","","","","","","","","",1,"","","","","","",""
email_podcasting_177,open_link,new_course_added,ind_stv_digex,podcasting,5,6,4,1167367030,2,1,1,"",1,"","","",2,1,"","","","",1,"","","","","","",1,"",1,"",1,"","","","",1,"","","","",1,1,"","","","","","","","","","",""
email_podcasting_137,open_link,new_course_added,ind_vtz_digex,podcasting,4,12,3,1098017803,1,1,3,"",2,"",3,2,"",1,"","","","","","","","",1,1,"",1,1,"","",1,"","","","","","","","","","","","","",1,"","","","","","","",""
email_podcasting_53,register_to_course,marketing,ind_vtz_digex,podcasting,3,3,6,2625194502,1,"","",1,4,"",1,1,"",1,"","","","",1,"","","","","","","","","",1,1,"","","","","","","","","","","","","","","","","","","","","",""
email_podcasting_153,open_link,new_course_added,ind_vtz_digex,podcasting,4,6,3,319108511,1,2,"","","","",2,1,"","","","","","",2,"","","","",1,"","","","","",2,"","","","","","","",1,1,"","","","","","","","","","","","",""
email_youtube_marketing_197,open_link,marketing,ind_vtz_digex,youtube_marketing,4,9,3,2170121781,1,1,"",1,1,"",1,"","","","","","","",2,"","",1,"",1,1,1,"",1,"","",1,1,"","","","","","","","","","","",1,"",1,"","","","","",""
email_email_marketing_184,register_to_course,marketing,ind_pat_digex,email_marketing,3,6,3,3867739293,"",1,"","","","",1,"",1,1,2,1,"",1,1,"","","",1,"",1,"","","","",1,"","","","","","","","","","","","","","","","","","","","","",""
email_youtube_marketing_174,open_link,marketing,ind_bdq_digex,youtube_marketing,4,6,6,6222439403,1,4,"",1,3,"","","","","","","","","","","","","","","","",1,"",1,"",1,"","",1,"","","","","","","",1,"","","","",1,"",1,"","","",""
email_youtube_marketing_89,open_link,marketing,ind_vtz_digex,youtube_marketing,6,5,4,6992462555,"",1,1,"",1,"",3,"","",2,"",1,"","",1,"","","",1,"","","","","","",1,"","","","","","","",1,"","",1,"","","","","","",1,"","","",""
email_podcasting_159,click_on_email,marketing,ind_vtz_digex,podcasting,7,8,2,8177699466,"","",1,"",1,"",1,1,"",1,"","","","",1,1,1,1,3,"","",1,1,1,"","","",1,"","","","","","","","",1,"","","","","","","","","","",""
email_podcasting_193,open_link,new_course_added,ind_bdq_digex,podcasting,5,5,9,9104873807,2,1,1,1,4,"",1,"",2,"","","","","","","","","","","","",1,1,1,1,"","",1,"","","",1,"","","","","","","","","","","",1,"","","",""
email_podcasting_157,open_link,new_course_added,ind_vtz_digex,podcasting,5,13,7,5598754908,"",3,2,"",2,"",2,1,"",1,"","","","",1,1,"",1,"",1,"",1,1,"","",1,"","","","",1,"","","",2,"","","","",1,"",2,"","","",1,"",""
email_email_marketing_165,open_link,new_course_added,ind_vtz_digex,email_marketing,3,9,4,6652283301,"",1,1,1,1,"",2,"","","","","","",1,1,"","","",1,"",1,"",2,2,"","","","","","","","",1,"","","","","","","","","","",1,"","","",""
email_youtube_marketing_82,open_link,new_course_added,ind_vtz_digex,youtube_marketing,3,9,3,8177582844,"",2,1,"",4,"",3,"","","",1,"","","","","","","",1,"","",2,"","","",1,"","","","","","","","","","","","","","","","","","","","","",""
email_podcasting_172,open_link,marketing,ind_stv_digex,podcasting,6,6,2,9594490225,"",1,"",1,2,"",2,"","",1,"","","",2,"","","","",1,"","","","","",1,1,"","","","","","","",1,1,"","","","","","","","","","","","",""
email_podcasting_94,open_link,marketing,ind_vtz_digex,podcasting,3,4,4,730586235,"","",1,"",1,"",1,"","","",1,"","","",1,1,"",1,"","","",1,"",1,1,"","","","",1,"","","","","","","","","","","","","","","","","",""
email_email_marketing_82,open_link,marketing,ind_bdq_digex,email_marketing,5,4,2,1320874932,"",1,"","","",1,1,"","","","","","","",2,1,"",1,"",2,"","","","","","","","","","","","","","","","","",1,"",1,"","","","","","","",""
email_email_marketing_41,open_link,marketing,ind_vtz_digex,email_marketing,5,8,3,1662586272,1,"",1,1,1,"",4,2,"","","",1,"","","","","","","","","",2,"","","",1,"","","",1,"","","","","","",1,"","","","","","","","","","",""
email_email_marketing_154,register_to_course,marketing,ind_bdq_digex,email_marketing,5,9,2,5606789566,"",3,1,"",1,"",3,"","",1,2,"","","",1,"","",1,1,1,"","","","","","","","","","","","","","","","","","","","","",1,"","","","","",""
email_youtube_marketing_22,click_on_email,new_course_added,ind_bdq_digex,youtube_marketing,5,10,4,8028579647,"",2,"","",1,"",3,1,"",1,"","","",1,1,"","","",1,2,1,"","",1,1,"","",1,1,"","","","","","","","",1,"","","","","","","","","",""
email_podcasting_16,register_to_course,new_course_added,ind_vtz_digex,podcasting,2,6,3,8136490848,"",1,"","",1,"","","","","","",2,"","","","","","",1,1,"","",2,"",1,"","","","","","","",1,"","","","",1,"","","","","","","","","",""
email_email_marketing_60,open_link,marketing,ind_vtz_digex,email_marketing,5,7,3,9312209299,2,2,2,"","","",2,"","","","","","","",1,"","","",1,1,2,"","","","",2,"","","","","","","","","","","","","","","","","","","","","",""
email_podcasting_29,open_link,marketing,ind_vtz_digex,podcasting,3,7,9,1147198667,"",4,"","","","",4,"","",1,"",1,1,1,"","","","",2,1,1,"","",1,"","","","","","","","","","","","","","","",1,"","",1,"","","","",""
email_email_marketing_151,register_to_course,new_course_added,ind_vtz_digex,email_marketing,1,5,3,3398471269,"",1,1,"","","","","","","","","","","","","","","","",1,"","",1,"",1,1,"","",1,"","","","","","","",2,"","","","","","","","","","",""
email_youtube_marketing_60,click_on_email,new_course_added,ind_vtz_digex,youtube_marketing,1,14,3,7466408923,"",3,"","","","",4,"","",2,"","","",1,2,1,"","",1,1,"","","","","",1,"","",1,"","","","","","","","","","","","","","","",1,"","",""
email_podcasting_117,open_link,marketing,ind_vtz_digex,podcasting,8,14,4,9518982198,1,1,"","",2,"",2,"","",2,"",1,1,"","","",1,1,1,1,2,2,1,"","",1,"","",1,"",2,1,"","","","","","","","",1,"","","","","","",1
email_copywriting_62,open_link,new_course_added,ind_isk_digex,copywriting,3,4,4,4540366483,1,1,"",1,1,"",1,1,"","",1,"",1,"","","","","","","","","","",1,"","","","","","","",1,"","",1,"","","","","","","","","","","","",""
email_email_marketing_184,open_link,marketing,ind_bdq_digex,email_marketing,1,5,2,4960463864,"",2,"","","","","","","","","","","","",2,"","",1,1,"","","","","","","","","","","","","","","","","","","","","",1,"","",1,"","","",""
email_podcasting_25,click_on_email,new_course_added,ind_ccu_digex,podcasting,4,4,2,6203814717,"",1,1,"",1,"",1,"","","","","","","",1,"","",1,"","",1,1,"","",1,"","","",1,"","","","","","","","","","","","","","","","","","",""
email_podcasting_48,click_on_email,marketing,ind_vtz_digex,podcasting,3,10,5,7367960717,1,4,2,"",1,"",1,"","",1,"",1,"",1,"","","","","","",1,"",1,1,"",1,"","","","",1,"","","","","","","","",1,"","","","","","","",""
email_podcasting_32,open_link,marketing,ind_vtz_digex,podcasting,4,10,6,1929024460,"",4,"","",2,"",3,"","","","",1,"",1,"","","","","",2,1,"","","",1,1,"","","","","","","",1,"","","","","",2,"","","","","","",1,""
email_google_analytics_104,open_link,new_course_added,ind_bdq_digex,google_analytics,4,10,4,5893870018,"",2,1,"",3,"",3,2,"",1,"","","","","",1,"",1,1,1,"",1,"","","","","","","","","",1,"","","","","","","","","","","","","","","",""
email_copywriting_174,open_link,marketing,ind_bdq_digex,copywriting,1,11,7,7559346642,"",2,"","","","",2,"","",1,1,1,1,"","",1,"","",1,"",1,"","",3,"",1,1,"","","","","","","","","",1,"",1,"",1,"","","","","","",""
email_internet_marketing_152,click_on_email,new_course_added,ind_vtz_digex,internet_marketing,4,10,3,8554479475,"",4,2,"","","",3,"","",1,"","","","","","",1,"","",1,"",2,"","","",1,"","","","","","","",1,"","","","","",1,"","","","","","","",""
email_podcasting_106,open_link,marketing,ind_vtz_digex,podcasting,3,4,2,9650865225,"","",2,"",2,"","","","",1,"",1,"","","","","","",1,"","","",1,"","","","","","","","","","","",1,"","","","","","","","","","","","",""
email_email_marketing_13,click_on_email,marketing,ind_vtz_digex,email_marketing,6,5,2,9978067264,"",1,"","",1,"",2,"",1,"","","","","",1,"",1,"","",1,"","",1,1,2,"","","","","","","","","","",1,"","","","","","","","","","","",""
email_google_analytics_25,open_link,marketing,ind_bdq_digex,google_analytics,5,8,2,683239368,"",2,2,"",1,"",1,"","","","","","",2,"","","","",3,"",1,"","","","",1,"","",1,"","","","","","","","","","",1,"","","","","","","",""
email_youtube_marketing_109,click_on_email,marketing,ind_vtz_digex,youtube_marketing,7,9,4,971290792,"",2,2,"",1,1,1,"",1,"","","",1,"","",1,1,"",1,"",1,"",1,1,"",1,"","","","","",1,"","","",1,1,"","","","","","","","","",1,""
email_podcasting_15,register_to_course,marketing,ind_stv_digex,podcasting,2,6,4,5098695376,"",2,"","","","",2,"","","","","","","",1,"","","",2,1,"","","",2,1,"","","","","","","","","","","","","","","",1,"","","","","","",""
email_google_analytics_150,click_on_email,marketing,ind_bdq_digex,google_analytics,3,7,2,6176066883,1,1,1,"",2,"","","","","","","","",1,"","","","",1,"","","","","","",1,"","","","","","","",1,1,"","","","","","","",1,1,"","","",""
email_podcasting_7,register_to_course,marketing,ind_bdq_digex,podcasting,5,2,"",6854165962,"",1,"",1,1,1,"","","","","","","","","","","","","","","","","","",1,1,"","","","","","","","",1,"","","","","","","","","","","","",""
email_youtube_marketing_25,open_link,marketing,ind_vtz_digex,youtube_marketing,6,12,4,7192004936,2,2,1,"",1,"",3,1,1,"",1,"","","",2,"","","",1,"","",1,1,"",2,"","","","","",1,"","",1,"","","","","",1,"","","","","","","",""
email_podcasting_125,register_to_course,new_course_added,ind_vtz_digex,podcasting,4,2,1,2561668355,"",2,1,"","","","","","","","","","","","","","","",1,1,"","","","","",2,"","","","","","","","","","","","","","","","","","","","","",""
email_podcasting_125,register_to_course,marketing,ind_bdq_digex,podcasting,1,9,1,4202383028,"",1,1,"","","","",1,"","",1,"","","",1,"",1,"","",1,"","","","",2,1,"","","","","","","","","","","","","","","",1,"","","","","",""
email_youtube_marketing_1,register_to_course,marketing,ind_bdq_digex,youtube_marketing,7,11,8,5098885426,3,4,2,"",2,"",2,1,1,"","",1,"","",1,1,"","",2,"","",1,"","","","","","",1,1,"","","","",1,"",1,"",1,"","","","","","","","",""
email_youtube_marketing_124,open_link,marketing,ind_vtz_digex,youtube_marketing,3,3,4,7233619948,"","",1,"","","",2,"","",1,2,"","","","","","","","","",1,"","","","",2,"","","","","","","","","","","","","","","","","","",1,"","",""
email_podcasting_4,click_on_email,marketing,ind_vtz_digex,podcasting,2,2,5,9947497569,1,"","","",1,"","","","","","","",1,"",1,"","","",1,1,"",1,"","","",1,1,"","","","","","","","","","","","","","","","","","","","",""
email_podcasting_186,open_link,marketing,ind_vtz_digex,podcasting,3,6,1,3087780685,"",1,"","","","","","","","","",1,"","","","",1,"","","","",1,"",1,"",2,"",1,"","","","","","",1,"","","","","","","",1,"","","","",""
email_youtube_marketing_39,open_link,marketing,ind_vtz_digex,youtube_marketing,7,8,1,3211984887,1,2,1,"",4,"",2,1,1,"","","","","",1,"","","","","","",1,"",2,"","","","","","","","","","","","","","","","","","","","","","","",""
email_copywriting_34,open_link,marketing,ind_isk_digex,copywriting,7,12,5,3770274326,1,2,"","",1,"",3,1,1,1,1,2,"","",2,"","",1,3,"","","","","","","","","","",1,"",1,1,"","","",1,1,"","","","","","","","","",""
email_email_marketing_130,open_link,new_course_added,ind_vtz_digex,email_marketing,7,10,6,4042659861,1,2,"","",1,2,1,1,"","",1,"","",2,1,"","",1,"",2,1,"",1,3,"",1,1,"","","","","","","",1,"","","","","","","","","","","","",""
email_podcasting_135,click_on_email,marketing,ind_vtz_digex,podcasting,2,8,4,4575848654,"",1,4,"","",1,1,1,"","","","","","",1,"","","","","","","","","","",2,"","","",1,"","","",1,"","",1,"","","","","","","","","","",""
