campaign_actual_sent_percent,campaign_actual_sent,campaign_sent_positive,campaign_actual_open_percent,campaign_actual_open,campaign_open_positive,campaign_actual_click_percent,campaign_actual_click,campaign_click_positive,campaign_id,course_campaign_name,campaign_agenda,campaign_category,campaign_agenda_sent,campaign_agenda_open,campaign_agenda_click,campaign_agenda_unsubscribe,digital_marketing_team,course_campaign_start_date,course_campaign_end_date,marketing_product,campaign_result_key,campaign_actual_unsubscribe_percent,campaign_actual_unsubscribe,campaign_unsubscribe_positive
77,14,false,66,12,true,25,2,true,6843489001,email_youtube_marketing_135,click_on_email,new_course_added,98,22,13,1,ind_bdq_digex,5/1/2022,05/15/2022,youtube_marketing,6843489001_email_youtube_marketing_135,41,5,false
76,16,false,81,13,true,0,0,false,6860283610,email_podcasting_65,register_to_course,marketing,99,23,15,4,ind_isk_digex,5/2/2022,05/16/2022,podcasting,6860283610_email_podcasting_65,12,2,false
78,15,false,69,9,true,44,4,true,7535659799,email_podcasting_110,open_link,marketing,99,25,10,4,ind_stv_digex,5/3/2022,05/17/2022,podcasting,7535659799_email_podcasting_110,27,3,false
87,14,false,26,4,true,60,6,true,2623410208,email_podcasting_158,register_to_course,new_course_added,99,25,10,4,ind_stv_digex,5/8/2022,05/22/2022,podcasting,2623410208_email_podcasting_158,20,3,false
82,14,false,60,9,true,57,4,true,2998192769,email_podcasting_103,click_on_email,marketing,98,25,15,3,ind_vtz_digex,5/4/2022,05/18/2022,podcasting,2998192769_email_podcasting_103,15,2,false
80,20,false,55,11,true,35,5,true,4652376596,email_podcasting_198,register_to_course,new_course_added,99,23,15,4,ind_stv_digex,5/2/2022,05/16/2022,podcasting,4652376596_email_podcasting_198,21,3,false
80,8,false,57,4,true,0,0,false,7053322858,email_podcasting_185,register_to_course,new_course_added,98,24,12,2,ind_vtz_digex,5/5/2022,05/19/2022,podcasting,7053322858_email_podcasting_185,16,1,false
64,11,false,50,5,true,85,6,true,7233619948,email_youtube_marketing_124,open_link,marketing,98,25,10,4,ind_vtz_digex,5/1/2022,05/15/2022,youtube_marketing,7233619948_email_youtube_marketing_124,12,2,false
66,18,false,75,15,true,60,6,true,8057338202,email_youtube_marketing_35,register_to_course,marketing,99,22,13,1,ind_stv_digex,5/5/2022,05/19/2022,youtube_marketing,8057338202_email_youtube_marketing_35,9,2,false
76,13,false,75,9,true,60,6,true,8068015779,email_podcasting_183,register_to_course,marketing,99,22,11,3,ind_vtz_digex,5/7/2022,05/21/2022,podcasting,8068015779_email_podcasting_183,25,2,false
85,17,false,66,8,true,57,4,true,7147817516,email_podcasting_49,register_to_course,new_course_added,100,24,14,3,ind_stv_digex,5/8/2022,05/22/2022,podcasting,7147817516_email_podcasting_49,26,4,false
78,15,false,61,11,true,55,5,true,7462074168,email_podcasting_3,open_link,new_course_added,100,25,14,2,ind_stv_digex,5/7/2022,05/21/2022,podcasting,7462074168_email_podcasting_3,18,2,false
80,16,false,81,13,true,26,4,true,6652283301,email_email_marketing_165,open_link,new_course_added,98,25,15,4,ind_vtz_digex,5/3/2022,05/17/2022,email_marketing,6652283301_email_email_marketing_165,18,2,false
88,15,false,50,8,true,66,2,true,7271535381,email_youtube_marketing_132,register_to_course,new_course_added,98,20,12,2,ind_vtz_digex,5/8/2022,05/22/2022,youtube_marketing,7271535381_email_youtube_marketing_132,28,4,false
83,15,false,53,7,true,55,5,true,9978067264,email_email_marketing_13,click_on_email,marketing,98,23,10,1,ind_vtz_digex,5/3/2022,05/17/2022,email_marketing,9978067264_email_email_marketing_13,28,2,false
75,22,false,68,15,true,66,8,true,1109634161,email_youtube_marketing_133,open_link,marketing,100,20,13,4,ind_vtz_digex,5/3/2022,05/17/2022,youtube_marketing,1109634161_email_youtube_marketing_133,8,2,false
84,16,false,88,15,true,42,6,true,2467651037,email_podcasting_97,click_on_email,new_course_added,98,21,11,2,ind_ccu_digex,5/2/2022,05/16/2022,podcasting,2467651037_email_podcasting_97,18,2,false
83,15,false,57,8,true,36,4,true,3982815010,email_podcasting_153,register_to_course,marketing,99,23,12,4,ind_bdq_digex,5/7/2022,05/21/2022,podcasting,3982815010_email_podcasting_153,27,3,false
70,17,false,78,15,true,40,4,true,6175194993,email_podcasting_134,open_link,marketing,99,23,14,3,ind_vtz_digex,5/5/2022,05/19/2022,podcasting,6175194993_email_podcasting_134,30,6,false
86,19,false,52,9,true,55,5,true,7661633205,email_podcasting_167,click_on_email,marketing,100,20,10,1,ind_vtz_digex,5/7/2022,05/21/2022,podcasting,7661633205_email_podcasting_167,33,6,false
76,19,false,61,13,true,55,5,true,8159189605,email_email_marketing_9,open_link,new_course_added,98,21,10,3,ind_vtz_digex,5/3/2022,05/17/2022,email_marketing,8159189605_email_email_marketing_9,33,4,false
84,16,false,50,6,true,22,2,true,8348991352,email_youtube_marketing_78,click_on_email,new_course_added,99,23,13,1,ind_vtz_digex,5/5/2022,05/19/2022,youtube_marketing,8348991352_email_youtube_marketing_78,11,1,false
75,12,false,58,7,true,37,3,true,9171260609,email_copywriting_108,open_link,marketing,98,25,15,1,ind_vtz_digex,5/1/2022,05/15/2022,copywriting,9171260609_email_copywriting_108,25,3,false
76,16,false,78,11,true,66,4,true,8173393206,email_copywriting_72,register_to_course,marketing,100,25,10,2,ind_vtz_digex,5/8/2022,05/22/2022,copywriting,8173393206_email_copywriting_72,17,3,false
76,16,false,50,9,true,58,7,true,18859429,email_podcasting_170,open_link,marketing,98,25,10,4,ind_vtz_digex,5/3/2022,05/17/2022,podcasting,18859429_email_podcasting_170,26,4,false
69,18,false,55,11,true,46,7,true,6509448459,email_youtube_marketing_133,click_on_email,marketing,98,21,15,4,ind_vtz_digex,5/5/2022,05/19/2022,youtube_marketing,6509448459_email_youtube_marketing_133,27,6,false
84,16,false,62,10,true,72,8,true,7248482838,email_email_marketing_103,open_link,new_course_added,100,21,15,2,ind_vtz_digex,5/7/2022,05/21/2022,email_marketing,7248482838_email_email_marketing_103,41,5,false
80,17,false,75,12,true,25,2,true,1489443282,email_copywriting_82,click_on_email,new_course_added,99,21,10,1,ind_vtz_digex,5/5/2022,05/19/2022,copywriting,1489443282_email_copywriting_82,15,3,false
81,9,false,87,7,true,40,2,true,1592334989,email_youtube_marketing_15,register_to_course,marketing,99,23,10,4,ind_stv_digex,5/8/2022,05/22/2022,youtube_marketing,1592334989_email_youtube_marketing_15,33,2,false
85,23,false,45,11,true,76,10,true,4164580399,email_podcasting_112,open_link,marketing,98,22,11,4,ind_bdq_digex,5/7/2022,05/21/2022,podcasting,4164580399_email_podcasting_112,26,5,false
75,21,false,76,16,true,71,5,true,4424252094,email_youtube_marketing_86,open_link,marketing,99,21,12,1,ind_bdq_digex,5/8/2022,05/22/2022,youtube_marketing,4424252094_email_youtube_marketing_86,40,8,false
73,17,false,50,10,true,50,6,true,7173200946,email_podcasting_82,click_on_email,new_course_added,100,25,11,1,ind_vtz_digex,5/7/2022,05/21/2022,podcasting,7173200946_email_podcasting_82,31,6,false
73,14,false,55,10,true,54,6,true,7253086872,email_youtube_marketing_176,open_link,new_course_added,99,25,12,4,ind_stv_digex,5/4/2022,05/18/2022,youtube_marketing,7253086872_email_youtube_marketing_176,9,1,false
87,14,false,50,6,true,50,3,true,7678820607,email_podcasting_112,open_link,marketing,99,25,10,4,ind_vtz_digex,5/1/2022,05/15/2022,podcasting,7678820607_email_podcasting_112,11,1,false
77,14,false,66,10,true,40,2,true,7990384825,email_copywriting_68,open_link,new_course_added,100,25,10,2,ind_pat_digex,5/1/2022,05/15/2022,copywriting,7990384825_email_copywriting_68,38,5,false
69,16,false,72,13,true,40,4,true,8074436845,email_podcasting_153,register_to_course,new_course_added,98,23,11,2,ind_vtz_digex,5/2/2022,05/16/2022,podcasting,8074436845_email_podcasting_153,30,4,false
95,20,false,36,7,true,45,5,true,3354190191,email_podcasting_32,click_on_email,marketing,98,20,14,1,ind_vtz_digex,5/7/2022,05/21/2022,podcasting,3354190191_email_podcasting_32,13,2,false
85,18,false,55,10,true,14,2,true,4471536257,email_podcasting_35,register_to_course,new_course_added,100,21,12,4,ind_stv_digex,5/5/2022,05/19/2022,podcasting,4471536257_email_podcasting_35,26,5,false
65,13,false,53,8,true,30,3,true,545825229,email_podcasting_186,register_to_course,new_course_added,99,25,13,3,ind_bdq_digex,5/1/2022,05/15/2022,podcasting,545825229_email_podcasting_186,11,2,false
69,9,false,25,2,true,33,2,true,7430859992,email_youtube_marketing_87,open_link,new_course_added,100,25,15,1,ind_ccu_digex,5/6/2022,05/20/2022,youtube_marketing,7430859992_email_youtube_marketing_87,16,1,false
75,18,false,63,12,true,45,5,true,8352940058,email_podcasting_70,open_link,new_course_added,99,21,11,3,ind_bdq_digex,5/7/2022,05/21/2022,podcasting,8352940058_email_podcasting_70,31,5,false
86,19,false,61,8,true,55,5,true,597181764,email_podcasting_89,register_to_course,marketing,98,23,15,2,ind_vtz_digex,5/5/2022,05/19/2022,podcasting,597181764_email_podcasting_89,31,6,false
81,18,false,81,13,true,50,4,true,1865105643,email_podcasting_36,open_link,marketing,99,22,11,1,ind_vtz_digex,5/3/2022,05/17/2022,podcasting,1865105643_email_podcasting_36,22,4,false
66,6,false,85,6,true,25,1,true,4589188260,email_podcasting_190,open_link,marketing,99,22,14,2,ind_vtz_digex,5/8/2022,05/22/2022,podcasting,4589188260_email_podcasting_190,40,4,false
80,20,false,40,9,true,41,5,true,5960077140,email_google_analytics_191,click_on_email,new_course_added,99,22,11,1,ind_vtz_digex,5/2/2022,05/16/2022,google_analytics,5960077140_email_google_analytics_191,10,2,false
90,18,false,71,10,true,22,2,true,6975373205,email_email_marketing_4,open_link,new_course_added,100,23,15,2,ind_vtz_digex,5/7/2022,05/21/2022,email_marketing,6975373205_email_email_marketing_4,18,2,false
84,21,false,72,16,true,30,3,true,1960027743,email_podcasting_165,open_link,marketing,99,22,13,3,ind_stv_digex,5/5/2022,05/19/2022,podcasting,1960027743_email_podcasting_165,31,5,false
82,14,false,46,6,true,57,4,true,5031859547,email_youtube_marketing_78,open_link,new_course_added,98,23,11,2,ind_vtz_digex,5/4/2022,05/18/2022,youtube_marketing,5031859547_email_youtube_marketing_78,14,1,false
75,12,false,80,8,true,85,6,true,5678711695,email_podcasting_199,open_link,new_course_added,98,20,13,2,ind_vtz_digex,5/1/2022,05/15/2022,podcasting,5678711695_email_podcasting_199,10,1,false
89,26,false,74,20,true,68,11,true,6769903601,email_podcasting_125,open_link,marketing,100,25,10,3,ind_vtz_digex,5/3/2022,05/17/2022,podcasting,6769903601_email_podcasting_125,25,5,false
85,12,false,50,6,true,16,1,true,8007470425,email_google_analytics_16,click_on_email,new_course_added,100,21,10,1,ind_stv_digex,5/8/2022,05/22/2022,google_analytics,8007470425_email_google_analytics_16,11,1,false
94,33,false,65,19,true,45,9,true,1841623849,email_youtube_marketing_52,click_on_email,new_course_added,100,20,12,1,ind_bdq_digex,5/3/2022,05/17/2022,youtube_marketing,1841623849_email_youtube_marketing_52,30,7,false
85,18,false,64,11,true,57,4,true,2021155617,email_youtube_marketing_147,open_link,new_course_added,100,22,14,4,ind_ccu_digex,5/8/2022,05/22/2022,youtube_marketing,2021155617_email_youtube_marketing_147,25,5,false
72,16,false,68,11,true,42,3,true,2429150220,email_podcasting_59,register_to_course,new_course_added,98,25,12,2,ind_pat_digex,5/6/2022,05/20/2022,podcasting,2429150220_email_podcasting_59,17,3,false
58,7,false,50,5,true,57,4,true,2686013737,email_youtube_marketing_56,click_on_email,marketing,99,25,15,2,ind_vtz_digex,5/2/2022,05/16/2022,youtube_marketing,2686013737_email_youtube_marketing_56,27,3,false
87,14,false,35,5,true,66,4,true,405669046,email_youtube_marketing_110,click_on_email,marketing,100,25,15,1,ind_vtz_digex,5/4/2022,05/18/2022,youtube_marketing,405669046_email_youtube_marketing_110,0,0,true
81,18,false,40,6,true,33,3,true,4494397512,email_podcasting_66,open_link,marketing,100,25,13,1,ind_stv_digex,5/8/2022,05/22/2022,podcasting,4494397512_email_podcasting_66,20,3,false
85,12,false,83,10,true,37,3,true,5393881320,email_podcasting_124,register_to_course,marketing,99,23,11,1,ind_vtz_digex,5/2/2022,05/16/2022,podcasting,5393881320_email_podcasting_124,37,3,false
69,16,false,61,13,true,50,6,true,5617322443,email_youtube_marketing_7,open_link,marketing,100,23,15,3,ind_bdq_digex,5/4/2022,05/18/2022,youtube_marketing,5617322443_email_youtube_marketing_7,23,5,false
92,12,false,45,5,true,33,2,true,668854707,email_podcasting_94,click_on_email,new_course_added,99,21,12,4,ind_stv_digex,5/8/2022,05/22/2022,podcasting,668854707_email_podcasting_94,18,2,false
92,25,false,63,14,true,56,9,true,7707747712,email_podcasting_13,open_link,new_course_added,100,23,13,1,ind_vtz_digex,5/6/2022,05/20/2022,podcasting,7707747712_email_podcasting_13,5,1,false
86,25,false,64,16,true,42,6,true,1842350226,email_podcasting_101,open_link,marketing,100,22,13,3,ind_bdq_digex,5/6/2022,05/20/2022,podcasting,1842350226_email_podcasting_101,13,3,false
76,19,false,61,11,true,45,5,true,6520397393,email_podcasting_90,open_link,new_course_added,100,23,12,4,ind_bdq_digex,5/1/2022,05/15/2022,podcasting,6520397393_email_podcasting_90,43,10,false
61,11,false,64,9,true,33,3,true,1954646682,email_copywriting_10,open_link,marketing,99,24,10,3,ind_bdq_digex,5/2/2022,05/16/2022,copywriting,1954646682_email_copywriting_10,25,3,false
64,11,false,42,6,true,40,2,true,1959233335,email_podcasting_147,register_to_course,marketing,99,24,13,3,ind_stv_digex,5/6/2022,05/20/2022,podcasting,1959233335_email_podcasting_147,0,0,true
94,18,false,73,11,true,37,3,true,3026956929,email_youtube_marketing_125,open_link,marketing,98,24,14,3,ind_bdq_digex,5/1/2022,05/15/2022,youtube_marketing,3026956929_email_youtube_marketing_125,7,1,false
80,17,false,75,12,true,37,6,true,8668363840,email_podcasting_177,click_on_email,marketing,99,22,12,3,ind_bdq_digex,5/1/2022,05/15/2022,podcasting,8668363840_email_podcasting_177,14,2,false
84,16,false,46,6,true,75,6,true,8679545988,email_podcasting_113,click_on_email,marketing,98,23,14,4,ind_vtz_digex,5/4/2022,05/18/2022,podcasting,8679545988_email_podcasting_113,41,5,false
84,16,false,81,13,true,50,6,true,9385842072,email_podcasting_48,open_link,new_course_added,99,25,14,3,ind_stv_digex,5/8/2022,05/22/2022,podcasting,9385842072_email_podcasting_48,33,3,false
79,19,false,55,11,true,36,4,true,971290792,email_youtube_marketing_109,click_on_email,marketing,98,23,10,1,ind_vtz_digex,5/4/2022,05/18/2022,youtube_marketing,971290792_email_youtube_marketing_109,36,7,false
76,26,false,65,15,true,27,5,true,9985282302,email_youtube_marketing_107,open_link,marketing,98,23,15,4,ind_vtz_digex,5/4/2022,05/18/2022,youtube_marketing,9985282302_email_youtube_marketing_107,19,5,false
88,16,false,57,8,true,16,1,true,1873434235,email_internet_marketing_1,open_link,new_course_added,99,24,13,4,ind_bdq_digex,5/7/2022,05/21/2022,internet_marketing,1873434235_email_internet_marketing_1,30,4,false
89,17,false,60,9,true,54,6,true,3412842958,email_email_marketing_151,register_to_course,marketing,98,25,14,4,ind_vtz_digex,5/3/2022,05/17/2022,email_marketing,3412842958_email_email_marketing_151,50,6,false
89,17,false,78,11,true,33,3,true,3729586033,email_email_marketing_126,open_link,marketing,99,23,10,2,ind_bdq_digex,5/4/2022,05/18/2022,email_marketing,3729586033_email_email_marketing_126,35,5,false
86,19,false,46,6,true,10,1,false,6465695324,email_podcasting_77,click_on_email,marketing,98,20,12,3,ind_vtz_digex,5/3/2022,05/17/2022,podcasting,6465695324_email_podcasting_77,37,6,false
86,20,false,55,11,true,33,3,true,7527757876,email_podcasting_151,open_link,marketing,100,24,12,2,ind_vtz_digex,5/1/2022,05/15/2022,podcasting,7527757876_email_podcasting_151,21,4,false
85,24,false,66,14,true,36,4,true,1659789001,email_podcasting_93,register_to_course,marketing,100,21,12,3,ind_bdq_digex,5/4/2022,05/18/2022,podcasting,1659789001_email_podcasting_93,22,4,false
76,19,false,77,14,true,63,7,true,1855166704,email_podcasting_186,click_on_email,new_course_added,100,22,15,2,ind_vtz_digex,5/4/2022,05/18/2022,podcasting,1855166704_email_podcasting_186,47,8,false
83,10,false,45,5,true,77,7,true,2808037090,email_email_marketing_118,register_to_course,new_course_added,98,21,12,1,ind_vtz_digex,5/5/2022,05/19/2022,email_marketing,2808037090_email_email_marketing_118,50,2,false
89,25,false,73,17,true,13,2,true,5668658260,email_youtube_marketing_146,click_on_email,new_course_added,98,22,11,2,ind_myq_digex,5/8/2022,05/22/2022,youtube_marketing,5668658260_email_youtube_marketing_146,26,4,false
71,15,false,52,9,true,46,6,true,6758771261,email_podcasting_109,open_link,marketing,100,24,10,2,ind_bdq_digex,5/8/2022,05/22/2022,podcasting,6758771261_email_podcasting_109,0,0,true
82,14,false,66,10,true,22,2,true,8247153211,email_podcasting_38,click_on_email,new_course_added,99,24,15,2,ind_bdq_digex,5/8/2022,05/22/2022,podcasting,8247153211_email_podcasting_38,27,3,false
82,14,false,62,10,true,28,2,true,8683205584,email_marketing_strategy_193,click_on_email,marketing,99,25,12,1,ind_bdq_digex,5/4/2022,05/18/2022,marketing_strategy,8683205584_email_marketing_strategy_193,26,4,false
70,12,false,66,8,true,33,3,true,2625194502,email_podcasting_53,register_to_course,marketing,98,24,10,2,ind_vtz_digex,5/1/2022,05/15/2022,podcasting,2625194502_email_podcasting_53,27,3,false
85,23,false,77,17,true,46,7,true,4893582380,email_youtube_marketing_194,open_link,new_course_added,99,24,11,4,ind_bdq_digex,5/1/2022,05/15/2022,youtube_marketing,4893582380_email_youtube_marketing_194,29,5,false
80,21,false,50,12,true,42,6,true,2586388895,email_copywriting_135,register_to_course,marketing,99,24,14,1,ind_bdq_digex,5/3/2022,05/17/2022,copywriting,2586388895_email_copywriting_135,25,4,false
80,16,false,71,10,true,36,4,true,347596738,email_copywriting_58,open_link,marketing,99,24,10,2,ind_bdq_digex,5/5/2022,05/19/2022,copywriting,347596738_email_copywriting_58,14,1,false
75,18,false,66,14,true,54,6,true,5594109153,email_podcasting_58,register_to_course,marketing,99,22,13,4,ind_vtz_digex,5/4/2022,05/18/2022,podcasting,5594109153_email_podcasting_58,25,3,false
77,17,false,78,15,true,33,2,true,6517332189,email_podcasting_24,open_link,marketing,98,24,14,4,ind_vtz_digex,5/7/2022,05/21/2022,podcasting,6517332189_email_podcasting_24,42,6,false
80,20,false,52,10,true,41,5,true,8028579647,email_youtube_marketing_22,click_on_email,new_course_added,99,20,14,1,ind_bdq_digex,5/7/2022,05/21/2022,youtube_marketing,8028579647_email_youtube_marketing_22,22,5,false
82,19,false,61,11,true,11,1,false,9002397186,email_google_analytics_168,open_link,new_course_added,100,24,12,4,ind_bdq_digex,5/3/2022,05/17/2022,google_analytics,9002397186_email_google_analytics_168,10,2,false
52,10,false,64,9,true,14,1,true,1328599582,email_podcasting_106,click_on_email,marketing,99,23,10,3,ind_stv_digex,5/6/2022,05/20/2022,podcasting,1328599582_email_podcasting_106,25,3,false
87,14,false,54,6,true,75,3,true,4015462432,email_email_marketing_159,open_link,marketing,98,20,11,2,ind_bdq_digex,5/2/2022,05/16/2022,email_marketing,4015462432_email_email_marketing_159,27,3,false
70,14,false,65,13,true,20,1,true,5235890736,email_podcasting_122,open_link,new_course_added,100,24,10,2,ind_ccu_digex,5/6/2022,05/20/2022,podcasting,5235890736_email_podcasting_122,36,4,false
72,13,false,61,11,true,66,6,true,9288996672,email_youtube_marketing_184,click_on_email,marketing,100,23,11,4,ind_bdq_digex,5/3/2022,05/17/2022,youtube_marketing,9288996672_email_youtube_marketing_184,33,4,false
72,16,false,75,15,true,50,7,true,2626381896,email_podcasting_51,click_on_email,marketing,98,22,14,4,ind_bdq_digex,5/6/2022,05/20/2022,podcasting,2626381896_email_podcasting_51,27,5,false
80,12,false,69,9,true,42,3,true,2780624760,email_youtube_marketing_145,open_link,new_course_added,98,20,10,3,ind_stv_digex,5/1/2022,05/15/2022,youtube_marketing,2780624760_email_youtube_marketing_145,9,1,false
84,16,false,66,10,true,33,2,true,2932173162,email_copywriting_29,open_link,marketing,98,22,14,2,ind_bdq_digex,5/5/2022,05/19/2022,copywriting,2932173162_email_copywriting_29,20,3,false
80,17,false,57,12,true,25,3,true,7596535194,email_email_marketing_91,open_link,new_course_added,100,24,14,2,ind_bdq_digex,5/8/2022,05/22/2022,email_marketing,7596535194_email_email_marketing_91,31,5,false
85,18,false,55,10,true,50,6,true,9642521911,email_podcasting_6,click_on_email,new_course_added,98,22,11,4,ind_bdq_digex,5/7/2022,05/21/2022,podcasting,9642521911_email_podcasting_6,50,7,false
80,12,false,45,5,true,55,5,true,4202383028,email_podcasting_125,register_to_course,marketing,100,21,14,4,ind_bdq_digex,5/6/2022,05/20/2022,podcasting,4202383028_email_podcasting_125,17,3,false
70,17,false,73,14,true,63,7,true,4951035189,email_youtube_marketing_104,click_on_email,new_course_added,100,25,14,1,ind_bdq_digex,5/7/2022,05/21/2022,youtube_marketing,4951035189_email_youtube_marketing_104,10,2,false
80,21,false,65,15,true,50,6,true,6240815977,email_youtube_marketing_35,open_link,marketing,99,23,14,3,ind_vtz_digex,5/7/2022,05/21/2022,youtube_marketing,6240815977_email_youtube_marketing_35,23,4,false
89,26,false,54,12,true,40,9,true,6458566778,email_podcasting_67,open_link,marketing,99,21,12,4,ind_vtz_digex,5/2/2022,05/16/2022,podcasting,6458566778_email_podcasting_67,26,6,false
70,19,false,40,8,true,28,4,true,121412288,email_podcasting_19,click_on_email,new_course_added,100,23,11,3,ind_bdq_digex,5/4/2022,05/18/2022,podcasting,121412288_email_podcasting_19,4,1,false
83,15,false,45,5,true,22,2,true,123713285,email_youtube_marketing_18,click_on_email,marketing,98,25,11,2,ind_vtz_digex,5/1/2022,05/15/2022,youtube_marketing,123713285_email_youtube_marketing_18,40,4,false
75,18,false,65,13,true,33,4,true,4421039322,email_podcasting_150,register_to_course,new_course_added,99,23,15,3,ind_vtz_digex,5/7/2022,05/21/2022,podcasting,4421039322_email_podcasting_150,10,2,false
75,15,false,57,11,true,50,4,true,7075830295,email_youtube_marketing_154,open_link,marketing,99,25,14,4,ind_pat_digex,5/7/2022,05/21/2022,youtube_marketing,7075830295_email_youtube_marketing_154,23,3,false
76,20,false,61,13,true,33,4,true,8683562360,email_youtube_marketing_98,open_link,marketing,98,22,14,3,ind_stv_digex,5/6/2022,05/20/2022,youtube_marketing,8683562360_email_youtube_marketing_98,23,5,false
71,10,false,70,7,true,37,3,true,290734339,email_youtube_marketing_66,register_to_course,new_course_added,99,24,15,4,ind_vtz_digex,5/8/2022,05/22/2022,youtube_marketing,290734339_email_youtube_marketing_66,18,2,false
100,19,true,73,11,true,55,5,true,326376488,email_podcasting_136,register_to_course,marketing,100,24,10,3,ind_vtz_digex,5/1/2022,05/15/2022,podcasting,326376488_email_podcasting_136,20,3,false
72,16,false,53,8,true,28,4,true,4604866740,email_podcasting_82,open_link,new_course_added,100,22,11,4,ind_vtz_digex,5/1/2022,05/15/2022,podcasting,4604866740_email_podcasting_82,21,4,false
85,24,false,72,18,true,58,10,true,5370900124,email_podcasting_151,open_link,new_course_added,99,22,12,2,ind_vtz_digex,5/4/2022,05/18/2022,podcasting,5370900124_email_podcasting_151,29,5,false
92,23,false,64,11,true,42,6,true,7607058826,email_youtube_marketing_54,click_on_email,marketing,99,20,10,4,ind_bdq_digex,5/4/2022,05/18/2022,youtube_marketing,7607058826_email_youtube_marketing_54,46,7,false
